Savings or Cost Calculator

$100 = Balance or Price
6% = Interest/Investment or Information Rate

Year   Amount    Rate
  0   $100.00  $ 6.00
  1   $106.00  $ 6.36
  2   $112.36  $ 6.74
  3   $119.10  $ 7.15
  4   $126.25  $ 7.57
  5   $133.82  $ 8.03
  6   $141.85  $ 8.51
  7   $150.36  $ 9.02
  8   $159.38  $ 9.56
  9   $168.95  $10.14
 10   $179.08  $10.75
 11   $189.83  $11.39
 12   $201.22  $12.07
 13   $213.29  $12.80
 14   $226.09  $13.57
 15   $239.66  $14.38
 16   $254.04  $15.24
 17   $269.28  $16.16
 18   $285.43  $17.13
 19   $302.56  $18.15
 20   $320.71  $19.24
 21   $339.96  $20.40
 22   $360.35  $21.62
 23   $381.97  $22.92
 24   $404.89  $24.29
 25   $429.19  $25.75
 26   $454.94  $27.30
 27   $482.23  $28.93
 28   $511.17  $30.67
 29   $541.84  $32.51
 30   $574.35  $34.46
 31   $608.81  $36.53
 32   $645.34  $38.72
 33   $684.06  $41.04
 34   $725.10  $43.51
 35   $768.61  $46.12
 36   $814.73  $48.88
 37   $863.61  $51.82
 38   $915.43  $54.93
 39   $970.35  $58.22
 40   $1028.57  $61.71
 41   $1090.29  $65.42
 42   $1155.70  $69.34
 43   $1225.05  $73.50
 44   $1298.55  $77.91
 45   $1376.46  $82.59
 46   $1459.05  $87.54
 47   $1546.59  $92.80
 48   $1639.39  $98.36
